NameCommon,NameVariable,Category,CategoryID,Type,TargetInitial,TargetMin,TargetMax,IncludeApp,IncludeJust,Justification,WS_Class
Vessel Accessibility,Cost_IceA,Cost,Cost,Cost,NA,NA,NA,TRUE,TRUE,This cost layer is important because,
Krill,Cost_Krill,Cost,Cost,Cost,NA,NA,NA,TRUE,TRUE,This cost layer is important because,
Toothfish,Cost_Toothfish,Cost,Cost,Cost,NA,NA,NA,TRUE,TRUE,This cost layer is important because,
Krill and Toothfish,Cost_Total,Cost,Cost,Cost,NA,NA,NA,TRUE,TRUE,This cost layer is important because,
None,Cost_None,Cost,Cost,Cost,NA,NA,NA,TRUE,TRUE,This cost layer is important because,
Abyssal Plain,Abyssal_Plain,Geomorphic Features,Geomorph,Regionalisation,30,0,100,FALSE,FALSE,NA,representative
Bank,Bank,Geomorphic Features,Geomorph,Regionalisation,30,0,100,FALSE,FALSE,NA,representative
Coastal Terrane,Coastal_Terrane,Geomorphic Features,Geomorph,Regionalisation,30,0,100,FALSE,FALSE,NA,representative
Cross Shelf Valley,Cross_Shelf_Valley,Geomorphic Features,Geomorph,Regionalisation,30,0,100,FALSE,FALSE,NA,representative
Lower Slope,Lower_Slope,Geomorphic Features,Geomorph,Regionalisation,30,0,100,FALSE,FALSE,NA,representative
Plateau Slope,Plateau_Slope,Geomorphic Features,Geomorph,Regionalisation,30,0,100,FALSE,FALSE,NA,representative
Rugose Ocean Floor,Rugose_Ocean_Floor,Geomorphic Features,Geomorph,Regionalisation,30,0,100,FALSE,FALSE,NA,representative
Seamount Ridge,Seamount_Ridge,Geomorphic Features,Geomorph,Regionalisation,30,0,100,FALSE,FALSE,NA,representative
Shelf,Shelf,Geomorphic Features,Geomorph,Regionalisation,30,0,100,FALSE,FALSE,NA,representative
Shelf Deep,Shelf_Deep,Geomorphic Features,Geomorph,Regionalisation,30,0,100,FALSE,FALSE,NA,representative
Upper Slope,Upper_Slope,Geomorphic Features,Geomorph,Regionalisation,30,0,100,FALSE,FALSE,NA,representative
Antarctic Deep Shelf,AntarcticDeepShelf,Echinoid Regionalisation,Echinoid,Regionalisation,30,0,100,FALSE,FALSE,NA,representative
Antarctic Deep Slope,AntarcticDeepSlope,Echinoid Regionalisation,Echinoid,Regionalisation,30,0,100,FALSE,FALSE,NA,representative
Antarctic Inner Shelf,AntarcticInnerShelf,Echinoid Regionalisation,Echinoid,Regionalisation,30,0,100,FALSE,FALSE,NA,representative
Antarctic Outer Shelf,AntarcticOuterShelf,Echinoid Regionalisation,Echinoid,Regionalisation,30,0,100,FALSE,FALSE,NA,representative
Subantarctic Deep Shelf,SubantarcticDeepShelf,Echinoid Regionalisation,Echinoid,Regionalisation,30,0,100,FALSE,FALSE,NA,representative
Subantarctic Island Shelf,SubantarcticIslandShelf,Echinoid Regionalisation,Echinoid,Regionalisation,30,0,100,FALSE,FALSE,NA,representative
Transition Area,TransitionArea,Echinoid Regionalisation,Echinoid,Regionalisation,30,0,100,FALSE,FALSE,NA,representative
Antarctic Lanternfish,ELAN_summer,Fish,Fish,Feature,30,0,100,TRUE,TRUE,Assessment of important habitats of a key prey species. Observation & habitat suitability model.,important
Antarctic Silverfish,PLAN_summer_adult,Fish,Fish,Feature,30,0,100,TRUE,TRUE,Assessment of important habitats of a key prey species. Observation & habitat suitability model.,important
Demersal Fish,Demersalfish,Fish,Fish,Feature,30,0,100,TRUE,TRUE,Important habitats for demersal fish (excluding toothfish). Observation & habitat suitability model.,important
Toothfish,Adult_toothfish_occurrence,Fish,Fish,Feature,30,0,100,TRUE,TRUE,Important habitats for key predator for fish and squid and prey for top predators. CPUE (catch per unit effort) data & habitat suitability model.,important
Areas of earlier Ice Retreat,SeaIceRetreat,Ice,Ice,Feature,30,0,100,TRUE,TRUE,Important habitat for early spring biological productivity. Assessment based on timing of sea ice break-up (Nov/Dec) around Maud Rise. Observation. ,important
Coastal Polynya,CoastalPolynya,Ice,Ice,Feature,30,0,100,TRUE,TRUE,Persistent regions of open water. Representative bio-physical habitat within sea-ice zone.,important
Spring Marginal Ice Zone,SeaIceDuration,Ice,Ice,Feature,30,0,100,TRUE,TRUE,"Important habitats for biological productivity, Assessment based on spring/summer (Nov-Jan) marginal ice zone. Observation.",important
Canyon Shelf Commencing,Canyon_Shelf_Commencing,Geomorphic Features,Geomorph,Feature,30,0,100,FALSE,TRUE,Important geomorphic type. Important zoobenthos habitat.,important
Canyon Slope Commencing,Canyon_Slope_Commencing,Geomorphic Features,Geomorph,Feature,30,0,100,FALSE,TRUE,Important geomorphic type. Important zoobenthos habitat.,important
Margin Ridge,Margin_Ridge,Geomorphic Features,Geomorph,Feature,30,0,100,FALSE,TRUE,Important geomorphic type.,important
Marginal Plateau,Marginal_Plateau,Geomorphic Features,Geomorph,Feature,30,0,100,FALSE,TRUE,Important geomorphic type.,important
Plateau,Plateau,Geomorphic Features,Geomorph,Feature,30,0,100,FALSE,TRUE,Important geomorphic type. Important benthic habitat.,important
Seamount,Seamount,Geomorphic Features,Geomorph,Feature,30,0,100,FALSE,TRUE,Important geomorphic type. Important benthic habitat.,important
Antarctic Krill,EUSU_summer_adult,Krill,Krill,Feature,30,0,100,TRUE,TRUE,"Important habitats. Essential prey for many Southern Ocean species including whales, seabirds, and fish. Observation & habitat suitability model.",important
Ice Krill,EUCR_summer_adult,Krill,Krill,Feature,30,0,100,TRUE,TRUE,Important habitats. Essential prey for ice-associated species. Observation & habitat suitability model.,important
Coastal Deep Polynya,C8_CoastalDeepPolynya,Pealgic Regionalisation,Pelagic,Regionalisation,30,0,100,FALSE,FALSE,NA,representative
Coastal Moderate Depth Polynya,C6_CoastalModerateDepthPolynya,Pealgic Regionalisation,Pelagic,Regionalisation,30,0,100,FALSE,FALSE,NA,representative
Coastal Moderate Depth Polynya II,C4_CoastalModerateDepthPolynyaII,Pealgic Regionalisation,Pelagic,Regionalisation,30,0,100,FALSE,FALSE,NA,representative
Coastal Shallow Polynya,C7_CoastalShallowPolynya,Pealgic Regionalisation,Pelagic,Regionalisation,30,0,100,FALSE,FALSE,NA,representative
Deep Water I,C3_DeepWaterI,Pealgic Regionalisation,Pelagic,Regionalisation,30,0,100,FALSE,FALSE,NA,representative
Deep Water II,C2_DeepWaterII,Pealgic Regionalisation,Pelagic,Regionalisation,30,0,100,FALSE,FALSE,NA,representative
Deep Water III,C1_DeepWaterIII,Pealgic Regionalisation,Pelagic,Regionalisation,30,0,100,FALSE,FALSE,NA,representative
Transition Zone,C5_TransitionZone,Pealgic Regionalisation,Pelagic,Regionalisation,30,0,100,FALSE,FALSE,NA,representative
Benthic drifter accumulation,SS_Bottom,Drifter Analysis,Drifter,Feature,30,0,100,TRUE,TRUE,Proportion of larvae in the bottom layer that have arrived from elsewhere.,important
Benthic drifter retention,LR_Bottom,Drifter Analysis,Drifter,Feature,30,0,100,TRUE,TRUE,Proportion of local larval production retained in an area in the bottom layer.,important
Pelagic drifter accumulation (ice),SS_Ice,Drifter Analysis,Drifter,Feature,30,0,100,TRUE,TRUE,Proportion of larvae in the pelagic (upper 200 m) layer that have arrived from elsewhere. Where ice is present,important
Pelagic drifter accumulation (std),SS_Std,Drifter Analysis,Drifter,Feature,30,0,100,TRUE,TRUE,Proportion of larvae in the pelagic (upper 200 m) layer that have arrived from elsewhere.,important
Pelagic drifter retention (ice),LR_Ice,Drifter Analysis,Drifter,Feature,30,0,100,TRUE,TRUE,Proportion of local larval production retained in an area in the pelagic (upper 200 m) layer. Where ice is present,important
Pelagic drifter retention (std),LR_Std,Drifter Analysis,Drifter,Feature,30,0,100,TRUE,TRUE,Proportion of local larval production retained in an area in the pelagic (upper 200 m) layer. ,important
Echinoid Regionalisation,region_ech,Regionalisations,Region,Feature,30,0,100,FALSE,TRUE,Representative habitats for echinoids (e.g.,representative
Geomorphic Features,region_ben,Regionalisations,Region,Feature,30,0,100,FALSE,TRUE,"Representative benthic habitats. Based on environmental drivers (e.g., depth) and barriers to dispersal.",representative
Pelagic Regionalisation,region_pel,Regionalisations,Region,Feature,30,0,100,FALSE,TRUE,"Pelagic bioregions based on remotely-sensed data of temperature, chlorophyll-a,….",representative
Southern Ocean Biogeochemical Divide,region_SOBD,Regionalisations,Region,Feature,30,0,100,FALSE,TRUE,Nutrient utilization north and south of the divide has important consequences for primary production and carbon sequestration.,representative
SOBD - North,SOBD_North,Southern Ocean Biogeochemical Divide,SOBD,Regionalisation,30,0,100,FALSE,FALSE,NA,representative
SOBD - South,SOBD_South,Southern Ocean Biogeochemical Divide,SOBD,Regionalisation,30,0,100,FALSE,FALSE,NA,representative
Areas of Ecological Significance,TopPred,Areas of Ecological Significance,TopPred,Feature,30,0,100,TRUE,TRUE,Integrated assessment of overall important habitats for top predators. Indicator of high levels of lower trophic biomass and biodiversity. Habitat selection model.,important
Antarctic Petrels (CR),ANPE_chick_rearing,Birds,Birds,Feature,30,0,100,TRUE,TRUE,Important feeding areas during chick rearing season. Key seabird species. Observation & foraging model.,important
Antarctic Petrels (Inc),ANPE_incubation,Birds,Birds,Feature,30,0,100,TRUE,TRUE,Important feeding areas during egg incubation period. Observation & foraging model.,important
Emperor Penguins (CR),EMPE_chick_rearing,Birds,Birds,Feature,30,0,100,TRUE,TRUE,Important feeding areas during chick rearing. Key and iconic seabird species. Observation & foraging model.,important
Important Bird Area (IBA),Marine_IBAs,Birds,Birds,Feature,30,0,100,TRUE,TRUE,"Areas identified as being globally important for the conservation of bird populations. To be listed as an IBA, it must satisfy at least one of: 1. Globally threatened species; 2. Restricted-range species; 3. Biome-restricted species; or 4. Congregations.",important
Antarctic Fur Seal (B),ANFS_breeding,Marine Mammals,Mammals,Feature,30,0,100,TRUE,TRUE,"Important feeding habitats. Surrogate indicator (prey composition, oceanographic conditions) of biodiversity. Observation & habitat selection model.",important
Antarctic Fur Seal (PM),ANFS_post_moult,Marine Mammals,Mammals,Feature,30,0,100,TRUE,TRUE,"Important habitats. Surrogate indicator (prey composition, oceanographic conditions) of biodiversity. Observation & habitat selection model.",important
Crabeater Seal,CRAS_no_stage,Marine Mammals,Mammals,Feature,30,0,100,TRUE,TRUE,"Important habitats. Surrogate indicator (prey composition, oceanographic conditions) of biodiversity. Observation & habitat selection model.",important
Elephant Seal (PB),SOES_post_breeding,Marine Mammals,Mammals,Feature,30,0,100,TRUE,TRUE,"Important habitats. Surrogate indicator (prey composition, oceanographic conditions) of biodiversity. Observation & habitat selection model.",important
Elephant Seal (PM),SOES_post_moult,Marine Mammals,Mammals,Feature,30,0,100,TRUE,TRUE,"Important habitats. Surrogate indicator (prey composition, oceanographic conditions) of biodiversity. Observation & habitat selection model.",important
Humpback Whale,HUWH_no_stage,Marine Mammals,Mammals,Feature,30,0,100,TRUE,TRUE,"Important habitats. Surrogate indicator (prey composition, oceanographic conditions) of distinct bioregions. Observation & habitat selection model.",important
Weddell Seal,WESE_no_stage,Marine Mammals,Mammals,Feature,30,0,100,TRUE,TRUE,"Important habitats. Surrogate indicator (prey composition, oceanographic conditions) of biodiversity. Observation & habitat selection model.",important
Climate,NA,Climate,Climate,Justification,30,0,100,TRUE,TRUE,Makes a climate-resilient solution that preferentially selects planning units that are more climate-resilient than others. The climate-resilience metric combines climate exposure and climate velocity. High climate-resilience metric pertains to areas with less climate exposure (lower temperature increase in the future) and slower climate velocity (climate refugia where species are more likely to be retained in the selected planning units under warming).,